ANSERIFORMES: Anatidae,,,
Black-bellied Whistling-Duck,Dendrocygna autumnalis,,
West Indian Whistling-Duck,Dendrocygna arborea,,Introduced species  Vulnerable
Fulvous Whistling-Duck,Dendrocygna bicolor,,
Bar-headed Goose,Anser indicus,,Rare/Accidental 
Emperor Goose,Anser canagicus,,Near-threatened
Snow Goose,Anser caerulescens,,
Ross's Goose,Anser rossii,,
Graylag Goose,Anser anser,,Rare/Accidental 
Greater White-fronted Goose,Anser albifrons,,
Lesser White-fronted Goose,Anser erythropus,,Rare/Accidental Vulnerable
Taiga Bean-Goose,Anser fabalis,,Rare/Accidental 
Tundra Bean-Goose,Anser serrirostris,,Rare/Accidental 
Pink-footed Goose,Anser brachyrhynchus,,Rare/Accidental 
Brant,Branta bernicla,,
Barnacle Goose,Branta leucopsis,,
Cackling Goose,Branta hutchinsii,,Breeding endemic
Canada Goose,Branta canadensis,,
Hawaiian Goose,Branta sandvicensis,,Vulnerable
Mute Swan,Cygnus olor,,Introduced species 
Trumpeter Swan,Cygnus buccinator,,
Tundra Swan,Cygnus columbianus,,
Whooper Swan,Cygnus cygnus,,
Orinoco Goose,Oressochen jubatus,,Introduced species  Near-threatened
Muscovy Duck,Cairina moschata,,
Wood Duck,Aix sponsa,,
Baikal Teal,Sibirionetta formosa,,
Garganey,Spatula querquedula,,
Blue-winged Teal,Spatula discors,,
Cinnamon Teal,Spatula cyanoptera,,
Northern Shoveler,Spatula clypeata,,
Gadwall,Mareca strepera,,
Falcated Duck,Mareca falcata,,Near-threatened
Eurasian Wigeon,Mareca penelope,,
American Wigeon,Mareca americana,,
Laysan Duck,Anas laysanensis,,Critically endangered
Hawaiian Duck,Anas wyvilliana,,Endangered
Eastern Spot-billed Duck,Anas zonorhyncha,,Rare/Accidental 
Mallard,Anas platyrhynchos,,
American Black Duck,Anas rubripes,,
Mottled Duck,Anas fulvigula,,
White-cheeked Pintail,Anas bahamensis,,
Northern Pintail,Anas acuta,,
Green-winged Teal,Anas crecca,,
Canvasback,Aythya valisineria,,
Redhead,Aythya americana,,
Common Pochard,Aythya ferina,,Vulnerable
Ring-necked Duck,Aythya collaris,,
Tufted Duck,Aythya fuligula,,
Greater Scaup,Aythya marila,,
Lesser Scaup,Aythya affinis,,
Steller's Eider,Polysticta stelleri,,Vulnerable
Spectacled Eider,Somateria fischeri,,
King Eider,Somateria spectabilis,,
Common Eider,Somateria mollissima,,Near-threatened
Harlequin Duck,Histrionicus histrionicus,,
Labrador Duck,Camptorhynchus labradorius,,Extinct
Surf Scoter,Melanitta perspicillata,,
White-winged Scoter,Melanitta fusca,,
Common Scoter,Melanitta nigra,,Rare/Accidental 
Black Scoter,Melanitta americana,,Near-threatened
Long-tailed Duck,Clangula hyemalis,,Vulnerable
Bufflehead,Bucephala albeola,,
Common Goldeneye,Bucephala clangula,,
Barrow's Goldeneye,Bucephala islandica,,
Smew,Mergellus albellus,,
Hooded Merganser,Lophodytes cucullatus,,
Common Merganser,Mergus merganser,,
Red-breasted Merganser,Mergus serrator,,
Masked Duck,Nomonyx dominicus,,
Ruddy Duck,Oxyura jamaicensis,,
,,,
GALLIFORMES: Cracidae,,,
Plain Chachalaca,Ortalis vetula,,
,,,
GALLIFORMES: Numididae,,,
Helmeted Guineafowl,Numida meleagris,,Introduced species 
,,,
GALLIFORMES: Odontophoridae,,,
Mountain Quail,Oreortyx pictus,,
Northern Bobwhite,Colinus virginianus,,Near-threatened
Scaled Quail,Callipepla squamata,,
California Quail,Callipepla californica,,
Gambel's Quail,Callipepla gambelii,,
Montezuma Quail,Cyrtonyx montezumae,,
,,,
GALLIFORMES: Phasianidae,,,
Indian Peafowl,Pavo cristatus,,Introduced species 
Chukar,Alectoris chukar,,Introduced species 
Himalayan Snowcock,Tetraogallus himalayensis,,Introduced species 
Erckel's Francolin,Pternistis erckelii,,Introduced species 
Black Francolin,Francolinus francolinus,,Introduced species 
Gray Francolin,Francolinus pondicerianus,,Introduced species 
Chinese Bamboo-Partridge,Bambusicola thoracicus,,Introduced species (non established) 
Elliot's Pheasant,Syrmaticus ellioti,,Introduced species  Near-threatened
Lady Amherst's Pheasant,Chrysolophus amherstiae,,Introduced species 
Ring-necked Pheasant,Phasianus colchicus,,Introduced species 
Silver Pheasant,Lophura nycthemera,,Introduced species (non established) 
Kalij Pheasant,Lophura leucomelanos,,Introduced species 
Gray Partridge,Perdix perdix,,Introduced species 
Ruffed Grouse,Bonasa umbellus,,
Greater Sage-Grouse,Centrocercus urophasianus,,Near-threatened
Gunnison Sage-Grouse,Centrocercus minimus,,Endangered
Spruce Grouse,Falcipennis canadensis,,
Willow Ptarmigan,Lagopus lagopus,,
Rock Ptarmigan,Lagopus muta,,
White-tailed Ptarmigan,Lagopus leucura,,
Dusky Grouse,Dendragapus obscurus,,
Sooty Grouse,Dendragapus fuliginosus,,
Sharp-tailed Grouse,Tympanuchus phasianellus,,
Greater Prairie-Chicken,Tympanuchus cupido,,Vulnerable
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,,Vulnerable
Wild Turkey,Meleagris gallopavo,,
,,,
GAVIIFORMES: Gaviidae,,,
Red-throated Loon,Gavia stellata,,
Arctic Loon,Gavia arctica,,
Pacific Loon,Gavia pacifica,,
Common Loon,Gavia immer,,
Yellow-billed Loon,Gavia adamsii,,Near-threatened
,,,
PODICIPEDIFORMES: Podicipedidae,,,
Least Grebe,Tachybaptus dominicus,,
Pied-billed Grebe,Podilymbus podiceps,,
Horned Grebe,Podiceps auritus,,Vulnerable
Red-necked Grebe,Podiceps grisegena,,
Eared Grebe,Podiceps nigricollis,,
Western Grebe,Aechmophorus occidentalis,,
Clark's Grebe,Aechmophorus clarkii,,
,,,
PHOENICOPTERIFORMES: Phoenicopteridae,,,
Chilean Flamingo,Phoenicopterus chilensis,,Introduced species  Near-threatened
American Flamingo,Phoenicopterus ruber,,
,,,
PROCELLARIIFORMES: Diomedeidae,,,
Yellow-nosed Albatross,Thalassarche chlororhynchos,,Rare/Accidental 
White-capped Albatross,Thalassarche cauta,,Rare/Accidental 
Salvin's Albatross,Thalassarche salvini,,Rare/Accidental Vulnerable
Chatham Albatross,Thalassarche eremita,,Rare/Accidental Vulnerable
Black-browed Albatross,Thalassarche melanophris,,Rare/Accidental 
Light-mantled Albatross,Phoebetria palpebrata,,Rare/Accidental Near-threatened
Wandering Albatross,Diomedea exulans,,Rare/Accidental 
Laysan Albatross,Phoebastria immutabilis,,Near-threatened
Black-footed Albatross,Phoebastria nigripes,,Near-threatened
Short-tailed Albatross,Phoebastria albatrus,,Vulnerable
,,,
