Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,Anatidae
West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,Anatidae
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,Anatidae
Bar-headed Goose,Anser indicus,Anseriformes,Anatidae
Emperor Goose,Anser canagicus,Anseriformes,Anatidae
Snow Goose,Anser caerulescens,Anseriformes,Anatidae
Ross's Goose,Anser rossii,Anseriformes,Anatidae
Graylag Goose,Anser anser,Anseriformes,Anatidae
Greater White-fronted Goose,Anser albifrons,Anseriformes,Anatidae
Lesser White-fronted Goose,Anser erythropus,Anseriformes,Anatidae
Taiga Bean-Goose,Anser fabalis,Anseriformes,Anatidae
Tundra Bean-Goose,Anser serrirostris,Anseriformes,Anatidae
Pink-footed Goose,Anser brachyrhynchus,Anseriformes,Anatidae
Brant,Branta bernicla,Anseriformes,Anatidae
Barnacle Goose,Branta leucopsis,Anseriformes,Anatidae
Cackling Goose,Branta hutchinsii,Anseriformes,Anatidae
Canada Goose,Branta canadensis,Anseriformes,Anatidae
Hawaiian Goose,Branta sandvicensis,Anseriformes,Anatidae
Mute Swan,Cygnus olor,Anseriformes,Anatidae
Trumpeter Swan,Cygnus buccinator,Anseriformes,Anatidae
Tundra Swan,Cygnus columbianus,Anseriformes,Anatidae
Whooper Swan,Cygnus cygnus,Anseriformes,Anatidae
Orinoco Goose,Oressochen jubatus,Anseriformes,Anatidae
Muscovy Duck,Cairina moschata,Anseriformes,Anatidae
Wood Duck,Aix sponsa,Anseriformes,Anatidae
Baikal Teal,Sibirionetta formosa,Anseriformes,Anatidae
Garganey,Spatula querquedula,Anseriformes,Anatidae
Blue-winged Teal,Spatula discors,Anseriformes,Anatidae
Cinnamon Teal,Spatula cyanoptera,Anseriformes,Anatidae
Northern Shoveler,Spatula clypeata,Anseriformes,Anatidae
Gadwall,Mareca strepera,Anseriformes,Anatidae
Falcated Duck,Mareca falcata,Anseriformes,Anatidae
Eurasian Wigeon,Mareca penelope,Anseriformes,Anatidae
American Wigeon,Mareca americana,Anseriformes,Anatidae
Laysan Duck,Anas laysanensis,Anseriformes,Anatidae
Hawaiian Duck,Anas wyvilliana,Anseriformes,Anatidae
Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,Anatidae
Mallard,Anas platyrhynchos,Anseriformes,Anatidae
American Black Duck,Anas rubripes,Anseriformes,Anatidae
